"parentUrl";"expandInMenu";"visible";"priority";"access";"title";"linkText";"url";"topDescription";"bottomDescription";"metaTitle";"metaDescription"
"autobaterie-nabijacky-a-startovacie-boxy";"0";"1";"1";"1";"Nabíjačky autobatérií";"Nabíjačky autobatérií";"nabijacky-autobaterii";"<p>Nabíjačky autobatérií slúžia na nabíjanie a podľa modelu aj udržiavanie vhodných akumulátorov.</p>";"<h2>Nabíjačky autobatérií – výber a použitie</h2><p>Skontrolujte napätie batérie, podporovanú chémiu a kapacitu. Rozlišujte nabíjačku od štartovacieho zdroja a dodržte pokyny výrobcu batérie.</p><p>Ďalší výber ponúka <a href=""/autobaterie-nabijacky-a-startovacie-boxy/"">Autobatérie, nabíjačky a štartovacie boxy</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/auto-moto/"">Auto-moto</a>.</p>";"Nabíjačky autobatérií | PremiumStore.sk";"Nabíjačky autobatérií slúžia na nabíjanie a podľa modelu aj udržiavanie vhodných akumulátorov."
"elektronika-do-auta";"0";"1";"1";"1";"Autorádiá";"Autorádiá";"autoradia";"<p>Autorádiá spájajú prehrávanie zvuku a podľa modelu aj ďalšie funkcie v palubnej doske vozidla.</p>";"<h2>Autorádiá – výber a použitie</h2><p>Overte montážny rozmer, konektory a kompatibilitu s ovládaním na volante. Rámik, redukcia či adaptér sú samostatné príslušenstvo.</p><p>Ďalší výber ponúka <a href=""/elektronika-do-auta/"">Elektronika do auta</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/kamery-do-auta/"">Kamery do auta</a>.</p>";"Autorádiá | PremiumStore.sk";"Autorádiá spájajú prehrávanie zvuku a podľa modelu aj ďalšie funkcie v palubnej doske vozidla."
"elektronika-do-auta";"0";"1";"2";"1";"Kamery do auta";"Kamery do auta";"kamery-do-auta";"<p>Kamery do auta zaznamenávajú priebeh jazdy podľa možností konkrétneho zariadenia.</p>";"<h2>Kamery do auta – výber a použitie</h2><p>Porovnajte rozlíšenie, zorný uhol, napájanie a podporu zadnej kamery. Parkovací režim môže vyžadovať samostatnú napájaciu súpravu.</p><p>Ďalší výber ponúka <a href=""/elektronika-do-auta/"">Elektronika do auta</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/autoradia/"">Autorádiá</a>.</p>";"Kamery do auta | PremiumStore.sk";"Kamery do auta zaznamenávajú priebeh jazdy podľa možností konkrétneho zariadenia."
"bojove-sporty";"0";"1";"1";"1";"Boxerské rukavice";"Boxerské rukavice";"boxerske-rukavice";"<p>Boxerské rukavice sú výbavou na tréning podľa určenia konkrétneho modelu.</p>";"<h2>Boxerské rukavice – výber a použitie</h2><p>Vyberajte podľa hmotnosti v unciach, veľkosti ruky a typu tréningu. Overte spôsob zapínania a pri skúšaní zohľadnite používané bandáže.</p><p>Ďalší výber ponúka <a href=""/bojove-sporty/"">Bojové športy</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/mma-rukavice/"">MMA rukavice</a>.</p>";"Boxerské rukavice | PremiumStore.sk";"Boxerské rukavice sú výbavou na tréning podľa určenia konkrétneho modelu."
"bojove-sporty";"0";"1";"2";"1";"Chrániče pre bojové športy";"Chrániče pre bojové športy";"chranice-pre-bojove-sporty";"<p>Chrániče pre bojové športy dopĺňajú ochrannú výbavu pri tréningu.</p>";"<h2>Chrániče pre bojové športy – výber a použitie</h2><p>Rozlišujte ochranu holení, zubov, hlavy a ďalších častí tela. Výber prispôsobte disciplíne, veľkosti a pravidlám tréningu.</p><p>Ďalší výber ponúka <a href=""/bojove-sporty/"">Bojové športy</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/boxerske-rukavice/"">Boxerské rukavice</a>.</p>";"Chrániče pre bojové športy | PremiumStore.sk";"Chrániče pre bojové športy dopĺňajú ochrannú výbavu pri tréningu."
"bojove-sporty";"0";"1";"3";"1";"MMA rukavice";"MMA rukavice";"mma-rukavice";"<p>MMA rukavice poskytujú odlišnú konštrukciu a voľnosť prstov než boxerské rukavice.</p>";"<h2>MMA rukavice – výber a použitie</h2><p>Skontrolujte veľkosť, polstrovanie a určenie na tréning alebo súťaž. Vhodný typ prispôsobte tréningovým pravidlám.</p><p>Ďalší výber ponúka <a href=""/bojove-sporty/"">Bojové športy</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/boxerske-rukavice/"">Boxerské rukavice</a>.</p>";"MMA rukavice | PremiumStore.sk";"MMA rukavice poskytujú odlišnú konštrukciu a voľnosť prstov než boxerské rukavice."
"prislusenstvo-pre-drony";"0";"1";"1";"1";"Filtre pre drony";"Filtre pre drony";"filtre-pre-drony";"<p>Filtre pre drony upravujú svetlo dopadajúce na kameru pri lete.</p>";"<h2>Filtre pre drony – výber a použitie</h2><p>Vyberajte podľa presného modelu dronu a typu filtra. ND, CPL a kombinované filtre majú rozdielny účel; overte aj hmotnosť a správne uchytenie.</p><p>Ďalší výber ponúka <a href=""/prislusenstvo-pre-drony/"">Príslušenstvo pre drony</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/tasky-a-kufre-pre-drony/"">Tašky a kufre pre drony</a>.</p>";"Filtre pre drony | PremiumStore.sk";"Filtre pre drony upravujú svetlo dopadajúce na kameru pri lete."
"prislusenstvo-pre-drony";"0";"1";"2";"1";"Tašky a kufre pre drony";"Tašky a kufre pre drony";"tasky-a-kufre-pre-drony";"<p>Tašky a kufre pre drony chránia zariadenie a príslušenstvo pri prenášaní.</p>";"<h2>Tašky a kufre pre drony – výber a použitie</h2><p>Porovnajte vnútorné usporiadanie, priestor pre ovládač a počet batérií. Univerzálne puzdro nemusí držať konkrétnu zostavu rovnako pevne ako modelová vložka.</p><p>Ďalší výber ponúka <a href=""/prislusenstvo-pre-drony/"">Príslušenstvo pre drony</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/filtre-pre-drony/"">Filtre pre drony</a>.</p>";"Tašky a kufre pre drony | PremiumStore.sk";"Tašky a kufre pre drony chránia zariadenie a príslušenstvo pri prenášaní."
"fontany-a-napajacky";"0";"1";"1";"1";"Filtre a čerpadlá do fontán";"Filtre a čerpadlá do fontán";"filtre-a-cerpadla-do-fontan";"<p>Filtre, čerpadlá a čistiace pomôcky slúžia na údržbu fontán pre psy a mačky.</p>";"<h2>Filtre a čerpadlá do fontán – výber a použitie</h2><p>Overte presné označenie fontány a dielu. Počet kusov v balení a interval výmeny filtra porovnávajte podľa odporúčaní výrobcu.</p><p>Ďalší výber ponúka <a href=""/fontany-a-napajacky/"">Fontány a napájačky</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/fontany-pre-psy-a-macky/"">Fontány pre psy a mačky</a>.</p>";"Filtre a čerpadlá do fontán | PremiumStore.sk";"Filtre, čerpadlá a čistiace pomôcky slúžia na údržbu fontán pre psy a mačky."
"fontany-a-napajacky";"0";"1";"2";"1";"Fontány pre psy a mačky";"Fontány pre psy a mačky";"fontany-pre-psy-a-macky";"<p>Fontány pre psy a mačky zabezpečujú cirkuláciu vody v nádobe určenej na pitie.</p>";"<h2>Fontány pre psy a mačky – výber a použitie</h2><p>Porovnajte objem, hlučnosť čerpadla, napájanie a rozoberanie na čistenie. Overte dostupnosť kompatibilných filtrov.</p><p>Ďalší výber ponúka <a href=""/fontany-a-napajacky/"">Fontány a napájačky</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/filtre-a-cerpadla-do-fontan/"">Filtre a čerpadlá do fontán</a>.</p>";"Fontány pre psy a mačky | PremiumStore.sk";"Fontány pre psy a mačky zabezpečujú cirkuláciu vody v nádobe určenej na pitie."
"pelechy--skrabadla-a-klietky";"0";"1";"1";"1";"Pelechy pre psy a mačky";"Pelechy pre psy a mačky";"pelechy-pre-psy-a-macky";"<p>Pelechy pre psy a mačky poskytujú vlastné miesto na odpočinok v domácnosti.</p>";"<h2>Pelechy pre psy a mačky – výber a použitie</h2><p>Vyberajte podľa veľkosti zvieraťa v polohe pri spánku, materiálu a možnosti prania. Pri vyvýšených okrajoch porovnajte aj vnútornú plochu pelechu.</p><p>Ďalší výber ponúka <a href=""/pelechy--skrabadla-a-klietky/"">Pelechy, škrabadlá a klietky</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/skrabadla-pre-macky/"">Škrabadlá pre mačky</a>.</p>";"Pelechy pre psy a mačky | PremiumStore.sk";"Pelechy pre psy a mačky poskytujú vlastné miesto na odpočinok v domácnosti."
"pelechy--skrabadla-a-klietky";"0";"1";"2";"1";"Škrabadlá pre mačky";"Škrabadlá pre mačky";"skrabadla-pre-macky";"<p>Škrabadlá pre mačky poskytujú plochu na škrabanie a podľa konštrukcie aj miesto na odpočinok.</p>";"<h2>Škrabadlá pre mačky – výber a použitie</h2><p>Porovnajte stabilitu základne, výšku a veľkosť odpočívadiel. Konštrukciu prispôsobte veľkosti a aktivite mačky.</p><p>Ďalší výber ponúka <a href=""/pelechy--skrabadla-a-klietky/"">Pelechy, škrabadlá a klietky</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/pelechy-pre-psy-a-macky/"">Pelechy pre psy a mačky</a>.</p>";"Škrabadlá pre mačky | PremiumStore.sk";"Škrabadlá pre mačky poskytujú plochu na škrabanie a podľa konštrukcie aj miesto na odpočinok."
"kuchynske-roboty-a-krajace";"0";"1";"1";"1";"Krájače potravín";"Krájače potravín";"krajace-potravin";"<p>Krájače potravín uľahčujú prípravu rovnomerných plátkov.</p>";"<h2>Krájače potravín – výber a použitie</h2><p>Vyberajte podľa rozsahu hrúbky rezu, typu noža a možnosti rozobratia na čistenie. Zohľadnite potraviny, ktoré plánujete krájať.</p><p>Ďalší výber ponúka <a href=""/kuchynske-roboty-a-krajace/"">Kuchynské roboty a krájače</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/mixery-a-slahace/"">Mixéry a šľahače</a>.</p>";"Krájače potravín | PremiumStore.sk";"Krájače potravín uľahčujú prípravu rovnomerných plátkov."
