id;parentId;parentUrl;expandInMenu;visible;priority;access;title;linkText;url;topDescription;bottomDescription;metaTitle;metaDescription;
"";"";"";"0";"1";"1";"1";"3D tlač a digitálna výroba";"3D tlač a digitálna výroba";"3d-tlac-a-digitalna-vyroba";"<p>Všetko pre digitálnu výrobu – 3D tlačiarne a materiály (filamenty, živice), 3D skenery na prevod predlohy do modelu, laserové gravírovacie a rezacie stroje aj tlačiarne a lisy na potlač textilu. Značky AnyCubic, Creality, Revopoint, xTool, LaserPecker a HTVRONT.</p>";"";"3D tlačiarne, skenery a laserové gravírky | PremiumStore.sk";"3D tlačiarne a filamenty, živice, 3D skenery, laserové gravírovacie stroje a lisy na potlač textilu."
"";"";"3d-tlac-a-digitalna-vyroba";"0";"1";"1";"1";"3D tlačiarne a materiály";"3D tlačiarne a materiály";"3d-tlac";"<p>Kompletný sortiment pre 3D tlač – 3D tlačiarne, tlačové vlákna (filamenty rôznych materiálov), živice pre živicovú tlač a príslušenstvo, najmä značka AnyCubic. Pri výbere filamentu/živice zohľadnite typ vašej tlačiarne (FDM/živicová).</p>";"";"3D tlačiarne, filamenty a živice | PremiumStore.sk";"3D tlačiarne FDM a živicové, filamenty PLA, PETG a ABS, živice a príslušenstvo k 3D tlači."
"";"";"3d-tlac-a-digitalna-vyroba";"0";"1";"2";"1";"Tlačiarne a lisy na potlač textilu";"Tlačiarne a lisy na potlač textilu";"tlaciarne-a-lisy-na-potlac-textilu";"<p>Lisy na termotransfer (potlač textilu) a samolepiace/holografické fólie na prenos motívov, značka HTVRONT.</p>";"";"Lisy na termotransfer HTVRONT | PremiumStore.sk";"Lisy na termotransfer, fólie a príslušenstvo HTVRONT na domácu aj profesionálnu potlač textilu. Vyberte lis podľa formátu, tlaku a typu materiálu."
"";"";"3d-tlac-a-digitalna-vyroba";"0";"1";"3";"1";"Laserové gravírovacie a rezacie stroje";"Laserové gravírovacie a rezacie stroje";"laserove-gravirovacie-a-rezacie-stroje";"<p>Laserové gravírovacie a rezacie stroje pre domácu dielňu aj malovýrobu, značky xTool a LaserPecker, doplnené o príslušenstvo – odsávače dymu, pásové podávače a rozširujúce základne.</p>";"";"Laserové gravírovačky xTool a LaserPecker | PremiumStore.sk";"Laserové gravírovacie a rezacie stroje značiek xTool a LaserPecker vrátane príslušenstva (odsávače dymu, podávače)."
"";"";"3d-tlac-a-digitalna-vyroba";"0";"1";"4";"1";"3D skenery";"3D skenery";"3d-skenery";"<p>3D skenery značiek Creality a Revopoint na digitalizáciu fyzických predmetov – vytvorený 3D model môžete ďalej upraviť a vytlačiť na 3D tlačiarni.</p>";"";"3D skenery Creality a Revopoint | PremiumStore.sk";"3D skenery Creality a Revopoint na digitalizáciu fyzických predmetov pre 3D tlač."
"";"";"";"0";"1";"2";"1";"Chovateľské potreby";"Chovateľské potreby";"chovatelske-potreby";"<p>Chovateľské potreby pre domáce zvieratá – inteligentné (samočistiace) toalety a príslušenstvo pre mačky, doplnky pre psov (vodítka, vrecká na exkrementy) a prípravky na starostlivosť o zvieratá. Dominuje značka PetKit.</p>";"";"Smart toalety a doplnky pre domácich miláčikov PetKit | PremiumStore.sk";"Inteligentné toalety a príslušenstvo pre mačky, doplnky pre psov a prípravky na starostlivosť o zvieratá, značka PetKit."
"";"";"";"0";"1";"3";"1";"Počítače, mobily a tablety";"Počítače, mobily a tablety";"pocitace-mobily-a-tablety";"<p>Počítačová a mobilná technika – notebooky, mini PC a PC periférie, smartfóny a tablety, sieťové prvky a NAS servery, tlačiarne aj herné príslušenstvo. Vyberte si konkrétnu podkategóriu podľa typu zariadenia.</p>";"";"Počítače, notebooky, mobily a tablety | PremiumStore.sk";"Notebooky, mini PC, smartfóny, tablety, sieťové prvky aj kompletné príslušenstvo. Značky Samsung, Xiaomi, ASUS, Lenovo a ďalšie."
"";"";"pocitace-mobily-a-tablety";"0";"1";"1";"1";"Puzdrá, sklá a príslušenstvo pre mobily";"Puzdrá, sklá a príslušenstvo pre mobily";"prislusenstvo-pre-mobilne-telefony";"<p>Najširšia ponuka príslušenstva pre mobilné telefóny – puzdrá, tvrdené ochranné sklá, nabíjačky a držiaky na mobil, prevažne značka ALI.</p>";"";"Puzdrá, tvrdené sklá a príslušenstvo pre mobily | PremiumStore.sk";"Puzdrá a kryty, tvrdené ochranné sklá, držiaky do auta a káble pre mobilné telefóny všetkých bežných značiek."
"";"";"prislusenstvo-pre-mobilne-telefony";"0";"1";"1";"1";"Powerbanky";"Powerbanky";"powerbanky";"<p>Powerbanky na dobitie mobilu, tabletu či notebooku mimo zásuvky. Pri výbere sledujte kapacitu (mAh), výstupný výkon a podporu rýchleho nabíjania cez USB-C Power Delivery – tá rozhoduje, ako rýchlo sa zariadenie dobije a či powerbanka zvládne aj notebook.</p><p>Powerbanky sú tu zaradené k mobilnému príslušenstvu, teda tam, kde ich zákazník hľadá, nie medzi zdrojmi energie pre domácnosť.</p>";"";"Powerbanky a záložné nabíjanie mobilov | PremiumStore.sk";"Powerbanky pre mobily, tablety a notebooky – rôzne kapacity, USB-C Power Delivery aj rýchle nabíjanie."
"";"";"pocitace-mobily-a-tablety";"0";"1";"2";"1";"Herné príslušenstvo pre PC";"Herné príslušenstvo pre PC";"herne-prislusenstvo-3";"<p>Herné príslušenstvo pre stolné počítače – herné skrine, joysticky a sady pre letecké/jazdné simulátory, okuliare pre rozšírenú/virtuálnu realitu a chladenie počítača (chladiče, ventilátory).</p>";"";"Herné skrine, simulátory a chladenie počítača | PremiumStore.sk";"Počítačové skrine, joysticky a simulátory (lietanie, jazda), okuliare pre rozšírenú realitu a chladenie počítača."
