id;parentId;parentUrl;expandInMenu;visible;priority;access;title;linkText;url;topDescription;bottomDescription;metaTitle;metaDescription;
"48150";"1";;"0";"0";"";"1";"Druhy";"Druhy";"druhy";"";"";"";"";
"39414";"1";;"0";"1";"1";"1";"TV, audio a video";"TV, audio a video";"tv--audio-a-video";"<p>Od reproduktorov a slúchadiel cez satelitné a DVB-T prijímače až po náhradné diaľkové ovládače. Ak vám doma dosluhuje pôvodný ovládač k televízoru, nemusíte kupovať nový celý televízor – u nás nájdete náhradu kompatibilnú s desiatkami konkrétnych modelov, stačí si ho vyfiltrovať podľa svojej značky a modelu.</p>";"";"TV, audio a video | PremiumStore.sk";"TV, audio a video technika na PremiumStore.sk – televízory, reproduktory, slúchadlá, diaľkové ovládače aj prijímače. Veľký výber, rýchle dodanie.";
"39423";"1";;"0";"1";"2";"1";"Domáce spotrebiče";"Domáce spotrebiče";"domace-spotrebice";"<p>Veľké aj malé spotrebiče do kuchyne a domácnosti. Pri vstavaných spotrebičoch (chladničky, umývačky) odporúčame pred kúpou skontrolovať presné rozmery v parametroch produktu – ušetríte si tak zbytočné meranie výklenku a prípadné vrátenie tovaru.</p>";"";"Domáce spotrebiče | PremiumStore.sk";"Chladničky, umývačky, práčky aj drobné spotrebiče do kuchyne. Overené značky, jasné parametre a rýchle dodanie na PremiumStore.sk.";
"39441";"1";;"0";"1";"3";"1";"Auto-moto";"Auto-moto";"auto-moto";"<p>Od klasických autožiaroviek a autorádií, cez parkovacie kamery, až po nabíjacie riešenia pre elektromobily. Nájdete tu aj špecializované príslušenstvo pre motocykle a karavany, ktoré v bežnom obchode s elektronikou zvyčajne nezoženiete.</p>";"";"Auto-moto | PremiumStore.sk";"Autožiarovky, autorádiá, nabíjačky pre elektromobily a príslušenstvo pre motocykle aj karavany. Auto-moto sortiment na PremiumStore.sk.";
"40671";"1";;"0";"1";"4";"1";"Fotovoltaika a energie";"Fotovoltaika a energie";"fotovoltaika-a-energie";"<p>Meniče, batériové úložiská a solárne panely pre domácu fotovoltaiku – riešenia pre tých, ktorí chcú byť pri výrobe a spotrebe energie o niečo nezávislejší.</p>";"";"Fotovoltaika a energie | PremiumStore.sk";"Meniče, batériové úložiská a solárne panely pre domácu fotovoltaiku. Riešenia pre energetickú nezávislosť na PremiumStore.sk.";
"39717";"1";;"0";"1";"5";"1";"Elektroinštalačný materiál";"Elektroinštalačný materiál";"elektroinstalacny-material";"<p>Káble, ističe, zásuvky, svorky, prepojovacie lišty aj meracia technika – všetko, čo potrebujete pri elektroinštalácii v domácnosti, dielni aj priemysle, od overených výrobcov.</p>";"";"Elektroinštalačný materiál | PremiumStore.sk";"Káble, ističe, zásuvky, svorky aj meracia technika pre elektroinštaláciu v domácnosti aj priemysle. PremiumStore.sk – overené značky.";
"39582";"1";;"0";"1";"6";"1";"Zdravie a starostlivosť";"Zdravie a starostlivosť";"zdravie-a-starostlivost";"<p>Starostlivosť o seba aj o svojich domácich miláčikov na jednom mieste – od zubných kefiek a pomôcok osobnej hygieny až po krmivo a doplnky pre zvieratá.</p>";"";"Zdravie a starostlivosť | PremiumStore.sk";"Osobná starostlivosť, zdravotnícke pomôcky aj potreby pre domácich miláčikov na jednom mieste. Nakupujte na PremiumStore.sk.";
"39762";"1";;"0";"1";"7";"1";"Náradie a dielňa";"Náradie a dielňa";"naradie-a-dielna";"<p>Ručné aj akumulátorové náradie, brúsky, vŕtačky, skrutkovače a príslušenstvo do dielne – vybavenie pre bežných kutilov rovnako ako pre remeselníkov, ktorí ho používajú denne.</p>";"";"Náradie a dielňa | PremiumStore.sk";"Ručné aj akumulátorové náradie, brúsky, vŕtačky a príslušenstvo do dielne. Vybavenie pre kutilov aj profesionálov na PremiumStore.sk.";
"39789";"1";;"0";"1";"8";"1";"Záhrada";"Záhrada";"zahrada";"<p>Zavlažovacie systémy, záhradná technika a vybavenie okolo domu – všetko, čo si vaša záhrada zaslúži počas celej sezóny.</p>";"";"Záhrada | PremiumStore.sk";"Zavlažovanie, záhradná technika a vybavenie okolo domu. Kompletný sortiment pre záhradu na PremiumStore.sk.";
"40119";"1";;"0";"1";"9";"1";"Bezpečnosť a smart domácnosť";"Bezpečnosť a smart domácnosť";"bezpecnost-a-smart-domacnost";"<p>Kamerové systémy, alarmy a inteligentné zariadenia, ktoré ustrážia váš domov aj vtedy, keď v ňom práve nie ste – a dajú sa jednoducho ovládať aj z telefónu.</p>";"";"Bezpečnosť a smart domácnosť | PremiumStore.sk";"Kamerové systémy, alarmy a inteligentné zariadenia pre bezpečný a smart domov. Vyberte si na PremiumStore.sk.";
