Segment,Kategória,Názov produktu,ID Produktu,Výrobca,EAN,Item ID,Vaša URL,Heureka URL,E-shopov predávajúcich produkt,Popularita,Vaša cena,Vaša pozícia podľa ceny,Vaša pozícia podľa biddingu,Cena za preklik,Najnižšia cena,PriceMin2,PriceMin3,PriceMin4,PriceMin5,PriceMin6,PriceMin7,PriceMin8,PriceMin9,PriceMin10,PriceMax10,PriceMax9,PriceMax8,PriceMax7,PriceMax6,PriceMax5,PriceMax4,PriceMax3,PriceMax2,Najvyššia cena
"Auto-moto","Alkohol testery","Solight 1T09",808017114,"Solight",8592718044176,"SOL_1T09","https://www.premiumstore.sk/solight-alkohol-tester-mini--fuel-cell--0-0-5-0--bac-citlivost-0-08-/","https://alkohol-testery.heureka.sk/solight-1t09",12,69,49.90,6,,0.261,39.50,42.21,42.22,48.54,49.75,49.90,59.97,60.99,65.18,74.90,42.22,48.54,49.75,49.90,59.97,60.99,65.18,74.90,74.90,79.96,
"Auto-moto","Alkohol testery","Solight alkohol tester profesionálny, Fuel Cell, 0,00 - 4,00‰ BAC, citlivosť 0,08‰",219645816,"Solight",8592718018948,"SOL_1T06","https://www.premiumstore.sk/solight-alkohol-tester-profesionalny--fuel-cell--0-00-4-00--bac--citlivost-0-08-/","https://alkohol-testery.heureka.sk/solight-1t06",24,90,59.50,9,,0.268,49.00,52.00,56.63,56.63,57.97,57.97,57.99,59.07,59.50,60.38,69.99,74.41,74.95,79.13,80.84,82.26,82.41,83.96,91.90,91.90,
"Auto-moto","Alkohol testery","Solight alkohol tester, 0,0 - 1,5‰ BAC, citlivosť 0,2‰",219645817,"Solight",8592718018955,"SOL_1T07","https://www.premiumstore.sk/solight-alkohol-tester--0-0-1-5--bac--citlivost-0-2-/","https://alkohol-testery.heureka.sk/solight-1t07",24,88,16.50,1,,0.161,16.50,16.69,17.59,17.59,17.90,18.00,18.46,18.50,20.28,20.50,22.89,24.78,24.81,25.37,26.95,28.04,28.76,29.12,31.90,31.90,
"Auto-moto","Alkohol testery","Solight alkohol tester, 0,0 - 3,0‰ BAC, přesnosť 0,1‰",11979768,"Solight",8592718029272,"SOL_1T04A","https://www.premiumstore.sk/solight-alkohol-tester--0-0-3-0--bac--presnost-0-1-/","https://alkohol-testery.heureka.sk/solight-1t04",20,55,33.00,1,,0.216,33.00,33.48,33.48,34.28,34.28,35.14,35.48,35.90,35.90,36.99,41.96,41.99,44.00,44.99,45.24,47.97,49.70,52.50,64.90,64.90,
"Auto-moto","Alkohol testery","Solight profesionálny bezkontaktný alkohol tester, Fuel Cell, 0,0 - 5,0‰ BAC,citlivosť 0,08‰",808596616,"Solight",8592718044169,"SOL_1T08","https://www.premiumstore.sk/solight-profesionalny-bezkontaktny-alkohol-tester--fuel-cell--0-0-5-0--bac-citlivost-0-08-/","https://alkohol-testery.heureka.sk/solight-1t08",16,32,51.00,1,,0.261,51.00,51.50,52.58,52.58,53.83,55.17,56.61,57.53,59.90,62.14,56.61,57.53,59.90,62.14,62.99,69.20,73.99,74.99,83.90,85.96,
"Auto-moto","Auto antény","Telkom Telmor Anténny konektor IEC GNI0255.1",842876222,"Solight",8595092115449,"SOL_SSN5500E","https://www.premiumstore.sk/solight-antenny-coax-konektor-priamy-typ-taliansko--10ks--sacok/","https://auto-anteny.heureka.sk/solight-antenny-coax-konektor-priamy-typ-taliansko-10ks-sacok",1,1,5.10,1,,0.070,5.10,,,,,,,,,,,,,,,,,,,5.10,
"Auto-moto","Autoalarmy","Diaľkové ovládanie SwitchBot Remote",702656922,"SwitchBot",850007706074,"041450","https://www.premiumstore.sk/dialkove-ovladanie-switchbot-remote/","https://autoalarmy.heureka.sk/switchbot-dalkove-ovladani-switchbot-remote",3,2,11.90,1,,0.074,11.90,12.88,14.50,,,,,,,,,,,,,,,11.90,12.88,14.50,
"Auto-moto","Autodiagnostiky","Ancel AD410 PRO",725082437,"ANCEL",5906168432965,"069080","https://www.premiumstore.sk/2in1-diagnostic-scanner-obd2-and-battery-tester-ancel-ad410-pro/","https://autodiagnostiky.heureka.sk/ancel-ad410-pro",5,9,47.00,1,,0.244,47.00,49.92,57.12,59.90,61.95,,,,,,,,,,,47.00,49.92,57.12,59.90,61.95,
"Auto-moto","Autodiagnostiky","Ancel AD530",724331355,"ANCEL",5906168439100,"069087","https://www.premiumstore.sk/diagnostic-scanner-obd2-ancel-ad530/","https://autodiagnostiky.heureka.sk/ancel-ad530",6,53,58.50,1,,0.268,58.50,74.50,79.64,82.10,99.90,102.95,,,,,,,,,58.50,74.50,79.64,82.10,99.90,102.95,
"Auto-moto","Autodiagnostiky","Ancel AS100/AC100",724331353,"ANCEL",5906168439131,"069084","https://www.premiumstore.sk/diagnostic-scanner-obd2-ancel-as100-ac100/","https://autodiagnostiky.heureka.sk/ancel-as100-ac100",7,41,17.50,1,,0.161,17.50,18.66,20.87,22.50,24.63,39.00,40.95,,,,,,,17.50,18.66,20.87,22.50,24.63,39.00,40.95,
