ean;stara_url;stary_nazov;stara_kategoria;najdena_kategoria;cesta_kategorie;nova_url_kategorie;skore;pocet_zhod;istota
P19430;https://premiumstore.sk/prodluzovaci-kabel-emos-p19430-na-bubnu-30m-4-zasuvky-cerveny-pvc-230-v-1-mm2#64606;Prodlužovací kabel EMOS P19430 na bubnu 30m / 4 zásuvky / červený / PVC / 230 V / 1 mm2;;Dĺžka 30m;Elektroinštalačný materiál > Predlžovačky, zásuvky, vidlica > Predlžovacie prívody > Dĺžka 30m;dlzka-30m;12.84;2;VYSOKA
BAT412038081;https://premiumstore.sk/baterie-olovena-12v-38-ah-victron-energy-agm-super-cycle-solarni#64565;Baterie olověná  12V / 38 Ah  Victron Energy AGM Super Cycle Solární;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
BAT412025081;https://premiumstore.sk/baterie-olovena-12v-25-ah-victron-energy-agm-super-cycle-solarni#64550;Baterie olověná  12V / 25 Ah  Victron Energy AGM Super Cycle Solární;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
8421152149188;https://premiumstore.sk/teka-ml-825-tfl-bx#64496;Teka ML 825 TFL BX;Vstavané domáce spotrebiče | Vstavané mikrovlnné rúry;Vstavané mikrovlnné rúry;Domáce spotrebiče > Vstavané spotrebiče > Vstavané mikrovlnné rúry;vstavane-mikrovlnne-rury;20.20;3;VYSOKA
8434778022964;https://premiumstore.sk/teka-ttb-64320-ttc-bk#64493;Teka TTB 64320 TTC BK;Vstavané domáce spotrebiče | Vstavané varné dosky | Sklokeramické varné dosky;Sklokeramické varné dosky;Domáce spotrebiče > Vstavané spotrebiče > Varné dosky > Sklokeramické varné dosky;sklokeramicke-varne-dosky;22.04;3;VYSOKA
8434778003826;https://premiumstore.sk/teka-ibc-64000-ttc#64477;Teka IBC 64000 TTC;Vstavané domáce spotrebiče | Vstavané varné dosky | Indukčné varné dosky;Indukčné varné dosky;Domáce spotrebiče > Vstavané spotrebiče > Varné dosky > Indukčné varné dosky;indukcne-varne-dosky;22.04;3;VYSOKA
8434778016123;https://premiumstore.sk/teka-ml-8200-bis-b#64470;Teka ML 8200 BIS B;Vstavané domáce spotrebiče | Vstavané mikrovlnné rúry;Vstavané mikrovlnné rúry;Domáce spotrebiče > Vstavané spotrebiče > Vstavané mikrovlnné rúry;vstavane-mikrovlnne-rury;20.20;3;VYSOKA
8434778007695;https://premiumstore.sk/teka-ml-8220-bis-l-st#64452;Teka ML 8220 BIS L ST;Vstavané domáce spotrebiče | Vstavané mikrovlnné rúry;Vstavané mikrovlnné rúry;Domáce spotrebiče > Vstavané spotrebiče > Vstavané mikrovlnné rúry;vstavane-mikrovlnne-rury;20.20;3;VYSOKA
741365254577;https://premiumstore.sk/wiim-sound#64338;WiiM Sound, Biela;TV, Video, Audio | Audio technika | Bluetooth reproduktory;Prenosné Bluetooth reproduktory;TV, audio a video > Audio technika > Reproduktory > Prenosné Bluetooth reproduktory;prenosne-bluetooth-reproduktory;12.07;2;VYSOKA
741365254560;https://premiumstore.sk/wiim-sound#64337;WiiM Sound, Čierna;TV, Video, Audio | Audio technika | Bluetooth reproduktory;Prenosné Bluetooth reproduktory;TV, audio a video > Audio technika > Reproduktory > Prenosné Bluetooth reproduktory;prenosne-bluetooth-reproduktory;12.07;2;VYSOKA
195893478101;https://premiumstore.sk/wiim-mini#64336;WiiM Mini;TV, Video, Audio | Audio technika | HiFi komponenty;HiFi komponenty;TV, audio a video > Audio technika > HiFi komponenty;hifi-komponenty;12.32;2;VYSOKA
E8647W;https://premiumstore.sk/emos-e8647w-domaci-bezdratova-meteostanice#63708;EMOS E8647W domácí bezdrátová meteostanice;Malé domáce spotrebiče | Meteostanice;Bezdrátová čidlá;Domáce spotrebiče > Malé spotrebiče > Meteostanice > Bezdrátová čidlá;bezdratova-cidla;21.17;3;VYSOKA
EV112;https://premiumstore.sk/digitalni-osobni-vaha-gosmart-emos-ev112-bmi-180-kg-cerna#63611;Digitální osobní váha GoSmart EMOS EV112 (BMI, 180 kg, černá);Domácnosť | Kuchynské váhy;Kuchynské váhy;Domáce spotrebiče > Malé spotrebiče > Kuchynské potreby > Kuchynské váhy;kuchynske-vahy;12.30;2;VYSOKA
0850050134527;https://premiumstore.sk/bg-da-14#63557;Monacor BG-DA-14;Profi technika | Nové produkty;Nové produkty;Profesionálna audio technika > Nové produkty;nove-produkty;16.53;2;VYSOKA
8594213440170;https://premiumstore.sk/blaupunkt-32fbg5000s#63500;Blaupunkt 32FBG5000S;TV, Video, Audio | Televízory | LED Televízory;LED televízory;TV, audio a video > Televízory > LED televízory;led-televizory;10.90;2;VYSOKA
SM5001;https://premiumstore.sk/kabel-jack-3-5mm-jack-3-5mm-1-5m-stereo-sm5001-emos#63411;Kabel Jack 3,5mm - Jack 3,5mm  1,5m stereo |  SM5001 EMOS;Heureka.sk | Elektronika | Počítače a notebooky | Príslušenstvo k počítačom | Káble a konektory | VGA, DVI, HDMI káble;Jack;Profesionálna audio technika > Káble, konektory a redukcie > Neutrik > Jack;jack;20.54;3;VYSOKA
SM5105;https://premiumstore.sk/kabel-jack-3-5mm-jack-3-5mm-zasuvka-5m-stereo-sm5105-emos#63410;Kabel Jack 3,5mm - Jack 3,5mm zásuvka 5m stereo |  SM5105 EMOS;Heureka.sk | Elektronika | Počítače a notebooky | Príslušenstvo k počítačom | Káble a konektory | VGA, DVI, HDMI káble;Jack;Profesionálna audio technika > Káble, konektory a redukcie > Neutrik > Jack;jack;20.54;3;VYSOKA
SM5003;https://premiumstore.sk/kabel-jack-3-5mm-jack-3-5mm-3m-stereo-sm5003-emos#63409;Kabel Jack 3,5mm - Jack 3,5mm  3m stereo |  SM5003 EMOS;Heureka.sk | Elektronika | Počítače a notebooky | Príslušenstvo k počítačom | Káble a konektory | VGA, DVI, HDMI káble;Jack;Profesionálna audio technika > Káble, konektory a redukcie > Neutrik > Jack;jack;20.54;3;VYSOKA
SM5102;https://premiumstore.sk/kabel-jack-3-5mm-jack-3-5mm-zasuvka-2-5m-stereo-sm5102-emos#63408;Kabel Jack 3,5mm - Jack 3,5mm zásuvka 2,5m stereo |  SM5102 EMOS;Heureka.sk | Elektronika | Počítače a notebooky | Príslušenstvo k počítačom | Káble a konektory | VGA, DVI, HDMI káble;Jack;Profesionálna audio technika > Káble, konektory a redukcie > Neutrik > Jack;jack;20.54;3;VYSOKA
4957812667494;https://premiumstore.sk/yamaha-musiccast-200-tsx-n237d-black#62951;YAMAHA MusicCast 200 / TSX-N237D BLACK;TV, Video, Audio | Audio technika | HiFi komponenty;HiFi komponenty;TV, audio a video > Audio technika > HiFi komponenty;hifi-komponenty;12.32;2;VYSOKA
E8610;https://premiumstore.sk/emos-e8610-gosmart-bezdratova-meteostanice-s-wi-fi#61853;EMOS E8610 GoSmart bezdrátová meteostanice s Wi-Fi;Malé domáce spotrebiče | Meteostanice;Bezdrátová čidlá;Domáce spotrebiče > Malé spotrebiče > Meteostanice > Bezdrátová čidlá;bezdratova-cidla;21.17;3;VYSOKA
E00387;https://premiumstore.sk/bezdratove-cidlo-emos-e00387#61852;Bezdrátové čidlo EMOS E00387;HITYshop | Meteostanice | Bezdrátová čidla;Bezdrátová čidlá;Domáce spotrebiče > Malé spotrebiče > Meteostanice > Bezdrátová čidlá;bezdratova-cidla;15.43;2;VYSOKA
8433766490242;https://premiumstore.sk/solac-lv1350#61821;Solac LV1350;Malé domáce spotrebiče | Vysavače | Parné mopy a čističe;Parné mopy a čističe;Domáce spotrebiče > Malé spotrebiče > Vysávače > Parné mopy a čističe;parne-mopy-a-cistice;22.49;3;VYSOKA
3121040075654;https://premiumstore.sk/rowenta-cv6930f0#61817;Rowenta CV6930F0;Starostlivosť o telo, zdravie | Starostlivosť o vlasy | Fény na vlasy;Fény na vlasy;Zdravie a starostlivosť > Starostlivosť o vlasy > Fény na vlasy;feny-na-vlasy;14.52;2;VYSOKA
3616360572810;https://premiumstore.sk/tefal-xf652038#61814;Tefal XF652038;Malé domáce spotrebiče | Kuchynské roboty a krájače | Kuchynské roboty;Kuchynské roboty a krájače;Domáce spotrebiče > Malé spotrebiče > Kuchynské roboty a krájače;kuchynske-roboty-a-krajace;11.32;2;VYSOKA
7500435225038;https://premiumstore.sk/braun-silk-epil-se5-050#61759;Braun Silk-épil SE5-050;Starostlivosť o telo, zdravie | Holiace strojčeky;Holiace strojčeky;Zdravie a starostlivosť > Holiace strojčeky;holiace-strojceky;13.52;2;VYSOKA
8594175359541;https://premiumstore.sk/truelife-relaxback-b3-charge#61739;TrueLife RelaxBack B3 Charge;Starostlivosť o telo, zdravie | Masážne prístroje;Masážne prístroje;Zdravie a starostlivosť > Masážne prístroje;masazne-pristroje;12.57;2;VYSOKA
8004032114508;https://premiumstore.sk/ardes-goldye#61661;Ardes Goldye;Starostlivosť o telo, zdravie | Elektrické manikúry a pedikúry;Elektrické manikúry a pedikúry;Zdravie a starostlivosť > Elektrické manikúry a pedikúry;elektricke-manikury-a-pedikury;21.36;3;VYSOKA
8445290500304;https://premiumstore.sk/starbucks-breakfast-blend-kava-450g#61618;Starbucks Breakfast Blend káva 450g;Heureka.sk | Domáce a osobné spotrebiče | Kuchynské spotrebiče | Príprava nápojov | Kávovary a príprava kávy | Automatické kávovary;Káva;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Káva;kava;14.74;2;VYSOKA
8059019063591;https://premiumstore.sk/candy-cf-5c6f0b#61577;Candy CF 5C6F0B;Heureka.sk | Veľké spotrebiče | Spotrebiče do kuchyne | Umývačky riadu;Umývačky riadu;Domáce spotrebiče > Veľké spotrebiče > Umývačky riadu;umyvacky-riadu;13.42;2;VYSOKA
7332543823031;https://premiumstore.sk/electrolux-eb61c4db#61565;Electrolux EB61C4DB;Malé domáce spotrebiče | Vysavače | Podlahové vysavače;Podlahové vysávače;Domáce spotrebiče > Malé spotrebiče > Vysávače > Podlahové vysávače;podlahove-vysavace;13.54;2;VYSOKA
8594176930114;https://premiumstore.sk/ezidri-foliova-miska-pro-fd500#61487;EZIDRI Fóliová miska pro FD500;Malé domáce spotrebiče | Sušičky ovocia a potravín;Sušičky potravín;Domáce spotrebiče > Malé spotrebiče > Sušičky potravín;susicky-potravin;15.15;2;VYSOKA
8710103882923;https://premiumstore.sk/philips-bhd003-00#61433;Philips BHD003/00;Starostlivosť o telo, zdravie | Starostlivosť o vlasy | Fény na vlasy;Fény na vlasy;Zdravie a starostlivosť > Starostlivosť o vlasy > Fény na vlasy;feny-na-vlasy;14.52;2;VYSOKA
3045385783428;https://premiumstore.sk/tefal-pf240e38#61416;Tefal PF240E38;Heureka.sk | Dielňa, stavba, záhrada | Záhrada | Záhradné grily, krby a udiarne | Záhradné grily;Grily;Záhrada > Záhradné doplnky > Grily;grily-2;11.12;2;VYSOKA
8711000357583;https://premiumstore.sk/l-or-onyx-10ks-kapsle#61267;L'OR Onyx 10ks kapsle;Heureka.sk | Domáce a osobné spotrebiče | Kuchynské spotrebiče | Príprava nápojov | Kávovary a príprava kávy | Automatické kávovary;Kávové kapsle;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Kávové kapsle;kavove-kapsle;14.33;2;VYSOKA
8594186721238;https://premiumstore.sk/guzzanti-gz-995#61217;Guzzanti GZ 995;Heureka.sk | Domáce a osobné spotrebiče | Úprava vzduchu | Zvlhčovače a čističky vzduchu;Čističky vzduchu;Domáce spotrebiče > Malé spotrebiče > Vzduchotechnika > Čističky vzduchu;cisticky-vzduchu;14.05;2;VYSOKA
8006540985090;https://premiumstore.sk/braun-nahradni-napln-ccr4#61170;BRAUN Náhradní náplň CCR4;Starostlivosť o telo, zdravie | Holiace strojčeky;Holiace strojčeky;Zdravie a starostlivosť > Holiace strojčeky;holiace-strojceky;13.52;2;VYSOKA
8051772716981;https://premiumstore.sk/beper-bep-40450-go#61144;BEPER BEP-40450-GO;Starostlivosť o telo, zdravie | Starostlivosť o vlasy | Žehličky na vlasy, krepovacie kliešte;Žehličky na vlasy, krepovací kliešte;Zdravie a starostlivosť > Starostlivosť o vlasy > Žehličky na vlasy, krepovací kliešte;zehlicky-na-vlasy--krepovaci-klieste;18.86;3;VYSOKA
4211125571054;https://premiumstore.sk/sanitas-sma-35#61121;SANITAS SMA 35;Starostlivosť o telo, zdravie | Elektrické manikúry a pedikúry;Elektrické manikúry a pedikúry;Zdravie a starostlivosť > Elektrické manikúry a pedikúry;elektricke-manikury-a-pedikury;21.36;3;VYSOKA
5908269357710;https://premiumstore.sk/zelmer-vysousec-vlasu-zhd8321#58212;Zelmer vysoušeč vlasů ZHD8321;Starostlivosť o telo, zdravie | Starostlivosť o vlasy | Fény na vlasy;Fény na vlasy;Zdravie a starostlivosť > Starostlivosť o vlasy > Fény na vlasy;feny-na-vlasy;14.52;2;VYSOKA
3838782681530;https://premiumstore.sk/gorenje-bpsa6747dgwi#58089;Gorenje BPSA6747DGWI;Vstavané domáce spotrebiče | Vstavané rúry;Vstavané rúry;Domáce spotrebiče > Vstavané spotrebiče > Vstavané rúry;vstavane-rury;12.34;2;VYSOKA
6-DMF-24;https://premiumstore.sk/baterie-olovena-12v-24-ah-mhpower-6-dmf-24-gel-trakcni#58071;Baterie olověná 12V / 24 Ah MHPower 6-DMF-24 GEL Trakční;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
6-DZF-15;https://premiumstore.sk/baterie-olovena-12v-15-ah-mhpower-6-dzf-15-gel-trakcni#58068;Baterie olověná 12V / 15 Ah MHPower 6-DZF-15 GEL Trakční;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
6942351405629;https://premiumstore.sk/hisense-32a4n#56471;Hisense Ce Hisense 32A4N;TV, Video, Audio | Televízory | LED Televízory;LED televízory;TV, audio a video > Televízory > LED televízory;led-televizory;10.90;2;VYSOKA
0196852149827;https://premiumstore.sk/wiim-pro#48575;Monacor WIIM-PRO;Profi technika | Nové produkty;Nové produkty;Profesionálna audio technika > Nové produkty;nove-produkty;16.53;2;VYSOKA
8590393320820;https://premiumstore.sk/eta-732290000#45323;ETA 732290000;Starostlivosť o telo, zdravie | Starostlivosť o vlasy | Kulmy na vlasy;Kulmy na vlasy;Zdravie a starostlivosť > Starostlivosť o vlasy > Kulmy na vlasy;kulmy-na-vlasy;14.23;2;VYSOKA
CFG12/24-10;https://premiumstore.sk/nabijecka-baterii-carspa-cfg12-24-10-pb-agm-lifepo4#43467;Nabíječka baterií Carspa CFG12/24-10 Pb, AGM, LiFePO4;Energia | Nabíjačky akumulátorov;Nabíjačky LiFePO4;Fotovoltaika a energie > Nabíjačky > Nabíjačky LiFePO4;nabijacky-lifepo4;13.32;2;VYSOKA
CFB12/24-12/06;https://premiumstore.sk/nabijecka-baterii-carspa-cfb12-24-12-pb-agm-lifepo4#43466;Nabíječka baterií Carspa CFB12/24-12 Pb, AGM, LiFePO4;Energia | Nabíjačky akumulátorov;Nabíjačky LiFePO4;Fotovoltaika a energie > Nabíjačky > Nabíjačky LiFePO4;nabijacky-lifepo4;13.32;2;VYSOKA
GE14-12;https://premiumstore.sk/baterie-olovena-12v-14-ah-mhpower-ge14-12-gel#41965;Baterie olověná  12V / 14 Ah  MHPower GE14-12 GEL;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
GE9-12;https://premiumstore.sk/baterie-olovena-12v-9-0-ah-mhpower-ge9-12-gel#41964;Baterie olověná  12V /  9,0 Ah  MHPower GE9-12 GEL;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
8594182427073;https://premiumstore.sk/niceboy-raze-mini-4#38440;Niceboy RAZE Mini 4;TV, Video, Audio | Audio technika | Bluetooth reproduktory;Prenosné Bluetooth reproduktory;TV, audio a video > Audio technika > Reproduktory > Prenosné Bluetooth reproduktory;prenosne-bluetooth-reproduktory;12.07;2;VYSOKA
6925281997013;https://premiumstore.sk/jbl-live-pro-2-tws-black#38397;JBL Live Pro 2 TWS black;TV, Video, Audio | Audio technika | Slúchadlá;TWS slúchadlá;TV, audio a video > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > TWS slúchadlá;tws-sluchadla;13.86;2;VYSOKA
4211125645069;https://premiumstore.sk/beurer-fm90#38394;Beurer FM90;Starostlivosť o telo, zdravie | Masážne prístroje;Masážne prístroje;Zdravie a starostlivosť > Masážne prístroje;masazne-pristroje;12.57;2;VYSOKA
Terminál M6;https://premiumstore.sk/redukce-baterie-terminal-s-vnejsim-zavitem-m6-1-par#36725;Solarfam Redukce baterie, terminál s vnějším závitem M6 (1 pár);Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;23.77;4;VYSOKA
Terminál M8;https://premiumstore.sk/redukce-baterie-terminal-s-vnejsim-zavitem-m8-1-par#36724;Solarfam Redukce baterie, terminál s vnějším závitem M8 (1 pár);Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;23.77;4;VYSOKA
MS4.5-6;https://premiumstore.sk/baterie-olovena-6v-4-5-ah-mhpower-ms4-5-6#36723;Baterie olověná   6V /  4,5 Ah MHPower MS4.5-6;Energia | Akumulátory, Batérie | Olovené akumulátory 6V;Olovené akumulátory;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory;olovene-akumulatory;17.11;3;VYSOKA
GE20-12;https://premiumstore.sk/baterie-olovena-12v-20-ah-mhpower-ge20-12-gel#36302;Baterie olověná  12V / 20 Ah  MHPower GE20-12 GEL;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
MS5-12;https://premiumstore.sk/baterie-olovena-12v-5-0-ah-mhpower-ms5-12#36210;Baterie olověná  12V /  5,0 Ah MHPower MS5-12;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
MS24-12;https://premiumstore.sk/baterie-olovena-12v-24-ah-mhpower-ms24-12#36209;Baterie olověná  12V / 24 Ah MHPower MS24-12;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
MS12-12;https://premiumstore.sk/baterie-olovena-12v-12-ah-mhpower-ms12-12#36207;Baterie olověná  12V / 12 Ah MHPower MS12-12;HITYshop | ENERGIE | Akumulátory | Olověné baterie | 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;18.30;3;VYSOKA
MS9-12;https://premiumstore.sk/baterie-olovena-12v-9-0-ah-mhpower-ms9-12#36206;Baterie olověná  12V /  9,0 Ah MHPower MS9-12;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
MS12-6;https://premiumstore.sk/baterie-olovena-6v-12-ah-mhpower-ms12-6#36205;Baterie olověná   6V / 12 Ah MHPower MS12-6AGM;Energia | Akumulátory, Batérie | Olovené akumulátory 6V;Olovené akumulátory;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory;olovene-akumulatory;17.11;3;VYSOKA
MS17-12;https://premiumstore.sk/baterie-olovena-12v-17-ah-mhpower-ms17-12#36200;Baterie olověná  12V / 17 Ah MHPower MS17-12;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
MS7-12;https://premiumstore.sk/baterie-olovena-12v-7-0-ah-mhpower-ms7-12#36199;Baterie olověná  12V /  7,0 Ah MHPower MS7-12;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
MS4.5-12;https://premiumstore.sk/baterie-olovena-12v-4-5-ah-mhpower-ms4-5-12#36198;Baterie olověná  12V /  4,5 Ah MHPower MS4.5-12;Energia | Akumulátory, Batérie | Olovené akumulátory 12V;12V;Fotovoltaika a energie > Akumulátory a batérie > Olovené akumulátory > 12V;12v;30.43;5;VYSOKA
6956079715298;https://premiumstore.sk/midea-m7-m7pro-s8-roller#28251;MIDEA Robozone Midea M7/M7Pro/S8+ Roller;Malé domáce spotrebiče | Vysavače | Robotické vysavače;Robotické vysávače;Domáce spotrebiče > Malé spotrebiče > Vysávače > Robotické vysávače;roboticke-vysavace;13.54;2;VYSOKA
